Bilecik,Bilecik Denetimli Serbestlik Müdürlüğü,0228 212 9726 - 0507 820 0011,,dsm.bilecik@adalet.gov.tr,Gazipaşa mh. Plevne sk. Arzbirlik İş hanı No:31/BİLECİK,0228 212 6920,https://bilecik.adalet.gov.tr/
Bilecik,Bilecik M Tipi Kapalı Ceza İnfaz Kurumu,0228 212 1037 - 0228 212 4404,0506 600 6111,abbbilecik.mtcik@adalet.gov.tr,Hürriyet Mah. Cezaevi Sk. No:1 PK:11100 Merkez/BİLECİK,0228 212 2041,https://bilecikcik.adalet.gov.tr/
Bilecik,Bozüyük Açık Ceza İnfaz Kurumu,0228 314 3827 - 0228 314 3827,0506 600 6211,bozuyuk.acik@adalet.gov.tr,Çarşı Mah.Karasu Mevkii Atatürk Cad.No:224 Bozüyük/BİLECİK,0228 315 1360,https://bozuyukacik.adalet.gov.tr/
Bilecik,Gölpazarı Açık Ceza İnfaz Kurumu,0228 411 4660 -,,golpazari.acik@adalet.gov.tr,Orgeneral Hüseyin Kıvrıkoğlu Caddesi Reşadiye Mahallesi no:142 Gölpazarı/BİLECİK,0228 411 3113,https://golpazariacik.adalet.gov.tr
Bingöl,Bingöl Açık Ceza İnfaz Kurumu,0426 232 7201 -,0506 600 6112,bingolmcik@adalet.gov.tr,Simani Mahallesi Mesnevi Caddesi No:93 BİNGÖL,0426 232 7406,https://bingolmcik.adalet.gov.tr/
Bingöl,Bingöl Denetimli Serbestlik Müdürlüğü,0426 213 2081 - 0507 820 0012,,dsm.bingol@adalet.gov.tr,Yenişehir Mah. Feyzullah Karaaslan Cad. Çapakçur İş Merkezi No:16 İç Kapı 10-19  Merkez/BİNGÖL,0426 213 2080,
Bitlis,Ahlat Açık Ceza İnfaz Kurumu (T Tipi),0434 414 0387 - 0434 414 0389,,ahlat.acik@adalet.gov.tr,Kırklar Mahallesi Ovakışla Yolun Sağ Tarafı AHLAT/BİTLİS,0434 414 0613,https://ahlattcik.adalet.gov.tr/
Bitlis,Ahlat T Tipi Kapalı Ceza İnfaz Kurumu,0434 414 0387 - 0434 414 0389,,ahlat.ttkcik@adalet.gov.tr,Kırklar Mahallesi Ovakışla Yolun Sağ Tarafı AHLAT/BİTLİS,0434 414 0613,https://ahlattcik.adalet.gov.tr/
Bitlis,Bitlis Denetimli Serbestlik Müdürlüğü,0434 226 6366 - 0507 820 0013,,dsm.bitlis@adalet.gov.tr,"Taş Mah. Seyitali Cad. Eski Adliye Binası üst kat, Merkez/BİTLİS",0434 226 6388,
Bitlis,Bitlis E Tipi Kapalı Ceza İnfaz Kurumu,0434 228 6234 - 0434 228 6236,0506 600 6113,abbbitlis.etcik@adalet.gov.tr,Hüsrevpaşa Mah. 1208. Sok. No:100 Merkez/BİTLİS,0434 228 6235,https://bitlisecik.adalet.gov.tr/
Bitlis,Tatvan Açık Ceza İnfaz Kurumu,0434 829 1344 - 0434 829 1345,,abbbitlis.acik@adalet.gov.tr,Karşıyaka Mah. Cezaevi Sok. No:37 Tatvan/BİTLİS,0434 829 1346,https://bitlisacik.adalet.gov.tr
Bolu,Bolu Açık Ceza İnfaz Kurumu,0374 245 1100 - 0374 2451200,,bolu.acik@adalet.gov.tr,Kuruçay Mah. Şehit Ümit Çetingöz Cad. No:10 14030/Merkez/BOLU,0374 215 1063,https://boluacik.adalet.gov.tr/
Bolu,Bolu Denetimli Serbestlik Müdürlüğü,0374 212 8071 - 0507 820 0014,,dsm.bolu@adalet.gov.tr,Borazanlar Mah. Hürriyet Caddesi No:36 Adak İş Hanı Merkez/BOLU,0374 217 5359,https://bolu.adalet.gov.tr/dsm.html
Bolu,Bolu F Tipi Yüksek Güvenlikli Kapalı Ceza İnfaz Kurumu,0374 245 1201 - 0374 245 1202,0506 600 6114,bolu.ftcik@adalet.gov.tr,Kuruçay Mah. Şehit Ümit Çetingöz Cad. No: 8 14030/Merkez/BOLU,0374 245 1257,https://bolufcik.adalet.gov.tr/
Bolu,Bolu T Tipi Kapalı Ceza İnfaz Kurumu,0374 245 1718 -  0374 245 1719,0506 600 6214,bolu.btoiccik@adalet.gov.tr,Kuruçay Mah. Şehit Ümit Çetingöz Cad. No:10 14030/Merkez/BOLU,0374 215 1101,https://bolutcik.adalet.gov.tr/
Bolu,Gerede Açık Ceza İnfaz Kurumu (L Tipi),0374 320 2002 - 0374 320 2004,,gerede.ltkcik@adalet.gov.tr,Demirciler Mah. İsmail Gür Caddesi No:31/1 Gerede/BOLU,0374 320 2013,https://geredeacik.adalet.gov.tr/
Bolu,Gerede L Tipi Kapalı Ceza İnfaz Kurumu,0374 320 2010 -,,gerede.ltkcik@adalet.gov.tr,Demirciler Mah. İsmail Gür Caddesi No:31/1 Gerede/BOLU,,https://geredelcik.adalet.gov.tr/
Burdur,Burdur 1 Nolu Y Tipi Kapalı Ceza İnfaz Kurumu Müdürlüğü,-,,,,,
Burdur,Burdur 2 Nolu Y Tipi Kapalı Ceza İnfaz Kurumu Müdürlüğü,-,,,,,
Burdur,Burdur Açık Ceza İnfaz Kurumu (E Tipi),0248 233 1355 -,0506 600 6115,burdur.etcik@adalet.gov.tr,"Yeni Mahalle, Armağan İlci Blv.No:12 15030 Merkez/BURDUR",0248 233 3978,https://burdurecik.adalet.gov.tr/
Burdur,Burdur Açık Ceza İnfaz Kurumu Müdürlüğü,0248 277 27 00 -,,burdur.acik@adalet.gov.tr,Büğdüz Köyü Oğuzhan Mevkii Cevat Sayılı 4. Sokak No:4/A  Merkez/BURDUR,0248 277 2705,burduracik.adalet.gov.tr
Burdur,Burdur Denetimli Serbestlik Müdürlüğü,0248 233 2011 - 0507 820 0015,0507 820 0015,dsm.burdur@adalet.gov.tr,Emek mahallesi Bahar Sok. No:1 Merkez/BURDUR,0248 233 2406,
Burdur,Burdur E Tipi Kapalı Ceza İnfaz Kurumu,0248 233 1355 -,0506 600 6115,burdur.etcik@adalet.gov.tr,"Yeni Mahalle, Armağan İlci Blv.No:12 15030 Merkez/BURDUR",0248 233 3978,https://burdurecik.adalet.gov.tr/
Burdur,Burdur Yüksek Güvenlikli Kapalı Ceza İnfaz Kurumu Müdürlüğü,0248 277 27 25 - 0248 277 27 26,,burdur.ygcik@adalet.gov.tr,Büğdüz Köyü Oğuzhan Mevki Cevat Sayılı 4.Sokak No:4/A Merkez/BURDUR,0248 277 27 30,https://burdurygcik.adalet.gov.tr/
Bursa,Bursa Açık Ceza İnfaz Kurumu (E Tipi),0224 243 1095 -,0506 600 6116,bursa.etcik@adalet.gov.tr,Balat Mahallesi Cezaevi Caddesi 16140 Nilüfer/BURSA,0224 243 1071,https://bursaecik.adalet.gov.tr/
Bursa,Bursa Denetimli Serbestlik Müdürlüğü,0224 2530950 - 0507 820 0016,,dsm.bursa@adalet.gov.tr,"Gaziakdemir Mahallesi, Mudanya Bulvarı No:4 Osmangazi/BURSA",0224 273 3483,https://bursa.adalet.gov.tr/dsm/dsmbursa.htm
Bursa,Bursa E Tipi Kapalı Ceza İnfaz Kurumu,0224 243 1238 - 0224 243 1239,0506 600 6116,bursa.etcik@adalet.gov.tr,Balat Mahallesi Cezaevi Caddesi 16140 Nilüfer/BURSA,0224 243 1970,https://bursaecik.adalet.gov.tr/
Bursa,Bursa H Tipi Kapalı Ceza İnfaz Kurumu,0224 243 1533 - 0224 243 2212,0506 600 6216,bursa.htcik@adalet.gov.tr,Balat Mahallesi Cezaevi Caddesi 16140 Nilüfer/BURSA,0224 243 8740,https://bursahcik.adalet.gov.tr/
Bursa,Gemlik Açık Ceza İnfaz Kurumu,0224 574 8179 - 0224 5248716,,gemlikacik@adalet.gov.tr,Engürücük Mah. 16 Nolu Engürücük Sk. No:4  16600 Gemlik /Bursa,0224 524 8266,https://gemlikacik.adalet.gov.tr/
Bursa,İnegöl Denetimli Serbestlik Müdürlüğü,0224 711 7190 - 0533 051 8231,,dsm.inegol@adalet.gov.tr,"İnegöl Adalet Sarayı, Zemin Kat, İnegöl / BURSA",0224 711 7180,https://inegol.adalet.gov.tr/
Bursa,Yenişehir Kadın Kapalı Ceza İnfaz Kurumu,0224 773 2124 - 0224 773 21 27,,yenisehir.k1tcik@adalet.gov.tr,100 YIL MAHALLESİ 2'İNCİ CADDE NO:8/1 YENİŞEHİR/BURSA,0224 773 2123,https://yenisehirkkcik.adalet.gov.tr
Çanakkale,Ayvacık Açık Ceza İnfaz Kurumu,0286 712 4001 - 0286 712 4002,,ayvacik.acik@adalet.gov.tr,Hamdibey Mh. Recep Yazıcıoğlu Sk. No: 6/A Ayvacık / ÇANAKKALE,0286 712 4010,https://ayvacikacik.adalet.gov.tr/
Çanakkale,Çanakkale Açık Ceza İnfaz Kurumu,0286 217 4884 - 0286 213 6362,,canakkale.acik@adalet.gov.tr,Cevatpaşa Mahallesi Atikhisar Caddesi No 89 Merkez/ÇANAKKALE,0286 213 6362,https://canakkaleacik.adalet.gov.tr
Çanakkale,Çanakkale Denetimli Serbestlik Müdürlüğü,0286 214 0445 -,0507 820 0017,dsm.canakkale@adalet.gov.tr,Barbaros Mah. Yeni Yol Sk. No:2 (Adalet Sarayı) Merkez/Çanakkale,0286 214 2481,
Çanakkale,Çanakkale E Tipi Kapalı Ceza İnfaz Kurumu,0286 217 2453 - 0312 217 2957,0506 6006117,canakkale.etcik@adalet.gov.tr,Cevatpaşa Mahallesi Pirireis Cd. No:87 Merkez/ÇANAKKALE,0286 217 1978,https://canakkalecik.adalet.gov.tr
Çankırı,Çankırı Denetimli Serbestlik Müdürlüğü,0376 212 7403 - 0507 820 0018,,dsm.cankiri@adalet.gov.tr,Abdulhalik Renda Mah. Ankara Cad. Çankırı Adliyesi Denetimli Serbestlik Müdürlüğü No:65 Kat:2 Merkez/ÇANKIRI,0376 213 4270,
Çankırı,Orta Açık Ceza İnfaz Kurumu Müdürlüğü,0376 615 2040 - 0376 615 2041,,,Sultan Beyazid Mahallesi Battal Gazi Sokak No: 9 Orta/ÇANKIRI,0376 615 2051,
Çorum,Çorum Açık Ceza İnfaz Kurumu (L Tipi),0364 254 9780 -,,corumkczv@adalet.gov.tr,Akkent Mahallesi Organize Sanayi Bölgesi 1.Cd. No:1/F ÇORUM,0364 254 9792,https://corumlcik.adalet.gov.tr/
Çorum,Çorum Denetimli Serbestlik Müdürlüğü,0364 213 4392 - 0364 666 0193,0507 820 0019,dsm.corum@adalet.gov.tr,Çepni Mah. Fen Lisesi Caddesi No: 58 Merkez/ÇORUM,0364 213 4392,
Çorum,Çorum L Tipi Kapalı Ceza İnfaz Kurumu,0364 254 9780 -,0506 600 6119,corumkczv@adalet.gov.tr,Akkent Mahallesi Organize Sanayi Bölgesi 1.Cd. No:1/E ÇORUM,0364 254 9792,https://corumlcik.adalet.gov.tr/
Çorum,İskilip Açık Ceza İnfaz Kurumu,0364 511 6011 -,0506 6006219,iskilip.acik@adalet.gov.tr,Hacıpiri Mahallesi Kazanlı Caddesi No:39 İskilip/ÇORUM,0364 511 2004,https://iskilipacik.adalet.gov.tr
Çorum,Sungurlu Denetimli Serbestlik Müdürlüğü,0364 311 4440 - 0507 820 0099,,dsm.sungurlu@adalet.gov.tr,Hacettepe Mahallesi Sungurlu Adalet Sarayı Kat:1,0364 311 4452,
Çorum,Sungurlu T Tipi Kapalı ve Açık Ceza İnfaz Kurumu,0364 311 0919 - 0364 311 09 20,,sungurlu.ttkacik@adalet.gov.tr,Çiftlik Mah. Kümeevleri No:49/A Sungurlu/Çorum,0364 311 0921,sungurlutcik.adalet.gov.tr
Denizli,Bozkurt Kadın Açık Ceza İnfaz Kurumu,0258 268 6912 - 0258 268 6913,,denizli.cikpem@adalet.gov.tr,Aktepe Mah. 2390 Sokak No:4 Pk. 20200 - Pamukkale/DENİZLİ,0258 268 6914,https://cte-dem.adalet.gov.tr/
Denizli,Denizli Açık Ceza İnfaz Kurumu,0258 814 5421 - 0258 814 5421,0538 086 2896,abbdenizli.acik@adalet.gov.tr,Kocabaş Mah. Ankara Bulvarı No:143 Honaz/DENİZLİ,0258 814 5423,https://denizliacik.adalet.gov.tr
Denizli,Denizli D Tipi Kapalı Ceza İnfaz Kurumu,0258 814 6146 - 0258 814 6148,0506 600 6120,denizli.dtcik@adalet.gov.tr,Kocabaş Mahallesi Demokrasi Bulvarı(Atatürk Caddesi) No: 141 Honaz/DENİZLİ,0258 814 6139,https://denizlidcik.adalet.gov.tr/
Denizli,Denizli Denetimli Serbestlik Müdürlüğü,0258 361 2878 - 0507 820 0020,,dsm.denizli@adalet.gov.tr,Yunus Emre Mah. 6456 Sk. No:6 Pamukkale/DENİZLİ,0258 361 4167,
Denizli,Denizli T Kapalı Ceza İnfaz Kurumu,0258 814 5260 - 0258 814 5262,,denizli.ttkcik@adalet.gov.tr,Kocabaş Mahallesi D320 Karayolu Üzeri Pk. 20330 - Honaz/DENİZLİ,0258 814 5263,https://denizlitcik.adalet.gov.tr
Denizli,Sarayköy Açık Ceza İnfaz Kurumu,0258 415 2477 -,0506 4188012,saraykoy.acik@adalet.gov.tr,Sakarya Mah. Eski Gerali Yolu Sokak No: 3 Sarayköy/DENİZLİ,0258 415 3142,https://saraykoyacik.adalet.gov.tr/
Diyarbakır,Diyarbakır 1 Nolu T Kapalı Ceza İnfaz Kurumu,0412 258 0256 - 0412 258 0257,,abbdiyarbakir.1nttkcik@adalet.gov.tr,Talaytepe Mahallesi Talaytepe Küme Evleri Kayapınar/DİYARBAKIR,0412 258 0258,www.diyarbakir1tcik.adalet.gov.tr
Diyarbakır,Diyarbakır 1 Nolu Yüksek Güvenlikli Kapalı Ceza İnfaz Kurumu,0412 258 0993 -,,diyarbakir.1nygkcik@adalet.gov.tr,Talaytepe Mahallesi Talaytepe Küme Evleri 21070 Kayapınar/DİYARBAKIR,0412 258 0992,https://diyarbakir1cik.adalet.gov.tr/
Diyarbakır,Diyarbakır 2 Nolu T Kapalı Ceza İnfaz Kurumu,0412 258 0296 - 0412 258 0297,,abbdiyarbakir.2nttkcik@adalet.gov.tr,Talaytepe Mahallesi Talaytepe Küme Evleri Kayapınar/DİYARBAKIR,0412 258 0298,www.diyarbakir2tcik.adalet.gov.tr
Diyarbakır,Diyarbakır 2 Nolu Yüksek Güvenlikli Kapalı Ceza İnfaz Kurumu,0412 258 0988 -,,diyarbakir.2nygkcik@adalet.gov.tr,Talaytepe Mahallesi Talaytepe Küme Evleri 21070 Kayapınar/DİYARBAKIR,0412 258 0987,https://diyarbakir2cik.adalet.gov.tr/
Diyarbakır,Diyarbakır 3 Nolu T Tipi Kapalı Ceza İnfaz Kurumu,0412 258 0994 - 0412 258 0984,,diyarbakir.3nttkcik@adalet.gov.tr,Talaytepe Mahallesi Talaytepe Küme Evleri 21070 Kayapınar / DİYARBAKIR,0412 258 0995,https://diyarbakir3tcik.adalet.gov.tr/
Diyarbakır,Diyarbakır 4 Nolu T Tipi Kapalı Ceza İnfaz Kurumu,0412 258 0990 - 0412 258 0997,,,,0412 258 0998,
Diyarbakır,Diyarbakır Açık Ceza İnfaz Kurumu,0412 258 0288 -,,diyarbakir.acik@adalet.gov.tr,Talaytepe Mahallesi Talaytepe Küme Evleri Kayapınar/DİYARBAKIR,0412 258 0289,https://diyarbakiracik.adalet.gov.tr/
Diyarbakır,Diyarbakır Çocuk ve Gençlik Kapalı Ceza İnfaz Kurumu,0412 258 0185 - 0412 258 0186,,diyarbakir.cgkcik@adalet.gov.tr,Talaytepe Mahallesi Talaytepe Küme Evleri No:57-1F Kayapınar/DİYARBAKIR,0412 258 0187,https://diyarbakircocukcik.adalet.gov.tr/
Diyarbakır,Diyarbakır Denetimli Serbestlik Müdürlüğü,0412 502 6237 - 0507 820 0021,,dsm.diyarbakir@adalet.gov.tr,Diyarbakır Adliye Sarayı Ek Hizmet Binası Peyas Mah. Fırat Bulvarı No:6 Kayapınar/DİYARBAKIR,0412 228 6648,
Diyarbakır,Diyarbakır Kadın Kapalı Ceza İnfaz Kurumu,0412 258 0424 - 0412 258 0425,,diyarbakir.kkcik@adalet.gov.tr,Talaytepe Mahallesi Talaytepe Küme Evleri Kayapınar/DİYARBAKIR,0412 258 0426,https://diyarbakirkkcik.adalet.gov.tr/
Diyarbakır,Ergani Denetimli Serbestlik Müdürlüğü,-,,,,,
Edirne,Edirne Açık Ceza İnfaz Kurumu,0284 226 8404 - 0284 226 8403,0506 600 6239,edirne.tarimacik@adalet.gov.tr,Umurbey Mah. Büyükdöllük Köyü Yolu Üzeri Ticaret Bosası Yanı 3. Km No:3/B Merkez/EDİRNE,0284 226 8401,https://edirneacik.adalet.gov.tr/
Edirne,Edirne Denetimli Serbestlik Müdürlüğü,0284 212 7108 - 0507 820 0022,,dsm.edirne@adalet.gov.tr,İstasyon Mah. Hakim Çağlar Işık Cad. Edirne Adalet Sarayı 22100-Merkez-EDİRNE,0284 212 2234,https://edirne.adalet.gov.tr/denetimliserbestlik/index.html
Edirne,Edirne F Tipi Yüksek Güvenlikli Kapalı Ceza İnfaz Kurumu,0284 224 8053 - 0284 224 8054,0506 600 6122,edirne.ftcik@adalet.gov.tr,Avarız Köyü yolu üzeri 7. Km. Merkez / EDİRNE,0284 224 8060,https://edirnefcik.adalet.gov.tr/
Edirne,Edirne L Tipi Kapalı Ceza İnfaz Kurumu,0284 224 0675 -,,edirne.ltkcik@adalet.gov.tr,Yeniimaret Mahallesi Avarız Yolu Üzeri Sokak No:5 Merkez / EDİRNE,0284 224 0673,https://edirnelcik.adalet.gov.tr/
Edirne,Keşan Denetimli Serbestlik Müdürlüğü,-,,,,,
Elazığ,Elazığ 1 Nolu Yüksek Güvenlikli Kapalı Ceza İnfaz Kurumu,0424 248 1313 - 0424 248 1559,0539 550 1934,elazig.1nygkcik@adalet.gov.tr,Ataşehir Mah. Çayırlı Sok. No:156 Merkez/ELAZIĞ,0424 248 1944,https://elazig1ycik.adalet.gov.tr/
Elazığ,Elazığ 2 Nolu Yüksek Güvenlikli Kapalı Ceza İnfaz Kurumu,0424 247 2531 - 0424 247 0558,0538 086 2901,elazig.2nygkcik@adalet.gov.tr,Ataşehir Mah. Çayırlı Sok. No:156 Merkez/ELAZIĞ,0424 247 4428,https://elazig2ycik.adalet.gov.tr/
Elazığ,Elazığ Çocuk Eğitimevi,0424 247 5292 -,0506 600 6223,elazig.cegt@adalet.gov.tr,Cumhuriyet Mah. 160. Sk. No:2 Merkez/ELAZIĞ,0424 247 5121,https://elazigce.adalet.gov.tr/
Elazığ,Elazığ Denetimli Serbestlik Müdürlüğü,0424 247 8178 - 0507 820 0023,,dsm.elazig@adalet.gov.tr,Cumhuriyet Mahallesi Şehit Korgeneral Hulusi Sayın Caddesi No:17 Merkez/ELAZIĞ,0424 247 8659,https://elazig.adalet.gov.tr/dsm/index.htm
Elazığ,Elazığ E Tipi Kapalı Ceza İnfaz Kurumu,0424 247 1111 -,0506 600 6123,elazig.etcik@adalet.gov.tr,Ataşehir Mah. Çayırlı Sokak No: 160 Merkez/ELAZIĞ,0424 248 3672,https://elazigecik.adalet.gov.tr/
Elazığ,Elazığ Kampüs Açık Ceza İnfaz Kurumu,0424 248 2893 - 0424 248 2894,0536 065 62 95,abbelazig.kacik@adalet.gov.tr,Ataşehir Mah. Çayırlı Sok. No:148 Merkez/ELAZIĞ,0424 247 7688,https://elazigkacik.adalet.gov.tr/
Elazığ,Elazığ R Tipi Kapalı Ceza İnfaz Kurumu,0424 247 7388 - 0424 248 2465,0534 891 4681,elazig.kkcik@adalet.gov.tr,Ataşehir Mahallesi 2420. Sokak No:7/14 Merkez/ELAZIĞ,0424 247 9459,https://elazigrcik.adalet.gov.tr
Elazığ,Elazığ T Tipi Kapalı Ceza İnfaz Kurumu,0424 248 1852 - 0424 248 1862,0539 550 1956,elazig.ttcik@adalet.gov.tr,Ataşehir Mah. 2420. Sk. No: 7/13  Posta Kodu: 23040  Malatya yolu 10. km. Merkez/ELAZIĞ,0424 247 2241,https://elazigtcik.adalet.gov.tr/
Elazığ,Karakoçan K1 Tipi Kapalı Ceza İnfaz Kurumu,0424 711 2401 -,,karakocan.k1tcik@adalet.gov.tr,"Kırkpınar Mahallesi, Hastane caddesi No: 25 Karakoçan/ELAZIĞ",0424 711 3814,
Elazığ,Sivrice Kadın Açık Ceza İnfaz Kurumu,0424 411 2989 - 0424 411 2986,,sivrice.acik@adalet.gov.tr,Sanayi Mahallesi Temur Irmak Caddesi No:85 Sivrice/Elazığ,0424 411 2600,https://sivriceacik.adalet.gov.tr/
Erzincan,Erzincan Açık Ceza İnfaz Kurumu,0446 251 1191 - 0446 251 1192,,erzincanacikcik@adalet.gov.tr,Gümüştarla Köyü  Organize Sanayi Bölgesi Merkez / Erzincan,0446 251 1193,https://erzincancik.adalet.gov.tr/
Erzincan,Erzincan Denetimli Serbestlik Müdürlüğü,0446 223 3020 - 0507 820 0024,,dsm.erzincan@adalet.gov.tr,İnönü Mah. Refik Aras Cad. Erzincan Valiliği Ek Hizmet Binası C Blok Kat: 3 Merkez ERZİNCAN,0446 223 3019,https://erzincan.adalet.gov.tr/denetimli-serbestlik-nedir
Erzincan,Erzincan Kadın Kapalı Ceza İnfaz Kurumu,0446 251 1087 - 0446 251 1088,,,"24002 Gümüştarla, Organize Sanayi Bölgesi Erzincan Ceza İnfaz Kurumları Kampüsü/Erzincan",0446 251 1078,
Erzincan,Erzincan Kapalı Ceza İnfaz Kurumu,0446 223 0112 - 0446 223 0114,,,,0446 223 0118,
Erzincan,Erzincan L Tipi Kapalı Ceza İnfaz Kurumu,0446 251 1401 - 0446 251 1403,,erzincan.ltkcik@adalet.gov.tr,Gümüştarla Köyü Organize Sanayi Bölgesi Erzincan Ceza İnfaz Kurumları Kampüsü Merkez/ ERZİNCAN,0446 251 1404,https://erzincanlcik.adalet.gov.tr/
Erzincan,Erzincan T Tipi Kapalı Ceza İnfaz Kurumu,0446 251 1235 - 0446 251 1236,0506 600 6124,erzincan.ttkacik@adalet.gov.tr,Organize Sanayii Bölgesi 12/1 Sokak Merkez/ERZİNCAN,0446 251 1237,https://erzincancik.adalet.gov.tr/
Erzincan,Erzincan Yüksek Güvenlikli Kapalı Ceza İnfaz Kurumu,0446 251 1145 - 0446 251 1157,,erzincan.ygkcik@adalet.gov.tr,"24002 Gümüştarla, Organize Sanayi Bölgesi Merkez / ERZİNCAN",0446 251 1135,https://erzincanygcik.adalet.gov.tr/
Erzurum,Aziziye 1 Nolu Y Tipi Kapalı Ceza İnfaz Kurumu Müdürlüğü,-,,,,,
Erzurum,Aziziye 2 Nolu Y Tipi Kapalı Ceza İnfaz Kurumu Müdürlüğü,-,,,,,
Erzurum,Aziziye Açık Ceza İnfaz Kurumu Müdürlüğü,0442 242 5065 -,,cte.erzurum.egitim@adalet.gov.tr,Tortum Yolu Üzeri Yakutiye/ERZURUM,0442 242 4973,https://cte-epem.adalet.gov.tr/
Erzurum,Dumlu 1 Nolu Yüksek Güvenlikli Kapalı Ceza İnfaz Kurumu,0442 263 2010 -,,,Dumlu mahallesi Dumlu Ceza İnfaz Kampüsü Yakutiye / Erzurum,0442 263 2077,https://dumlu1cik.adalet.gov.tr/
Erzurum,Dumlu 2 Nolu Yüksek Güvenlikli Kapalı Ceza İnfaz Kurumu,0442 263 20 13 - 0442 263 20 14,,,Dumlu Mahallesi Dumlu Cezeaevi Kampüsü Yakutiye/ERZURUM,0442 263  20 16,
Erzurum,Dumlu Açık Ceza İnfaz Kurumu,0442 263 2784 -,0536 065 6064,dumlu.acik@adalet.gov.tr,Dumlu Mah.Halit Paşa Cad. Açcık Cezaevi No:30/1 Yakutiye/ERZURUM,0442 263 2299,https://dumluacik.adalet.gov.tr
Erzurum,Erzurum Açık Ceza İnfaz Kurumu,0442 242 7117 -,0506 600 6243,erzurum.acik@adalet.gov.tr,"İbrahim Hakkı Mahallesi, Şıh Köyü Yolu Caddesi  Yakutiye / Erzurum",0442 243 3804,https://erzurumacik.adalet.gov.tr/
Erzurum,Erzurum Denetimli Serbestlik Müdürlüğü,0442 235 7528 - 0507 820 0025,,dsm.erzurum@adalet.gov.tr,Muratpaşa Mahallesi Paşalar Caddesi No:22 Yakutiye/ Erzurum,0442 235 7551,https://erzurum.adalet.gov.tr/dserbestlik
Erzurum,Erzurum E Tipi Kapalı Ceza İnfaz Kurumu,0 (442) 242 71 15 - 0 (442) 242 71 11,0506 600 6125,abberzurum.etcik@adalet.gov.tr,İbrahim Hakkı Mahallesi Filiz 2 Caddesi 25050 Yakutiye / ERZURUM,0 (442) 242 71 16,erzurumecik.adalet.gov.tr
Erzurum,Hınıs A1 Tipi Kapalı Ceza İnfaz Kurumu,0442 511 2426 -,,hinis.a1tcik@adalet.gov.tr,Yenikent Mahallesi Yıldırım Akbulut bulvarı No:76 Hınıs/ERZURUM,,https://hinisa1cik.adalet.gov.tr/
Erzurum,Hınıs Denetimli Serbestlik Müdürlüğü,0442 511 2266 - 0507 820 0125,,dsm.hinis@adalet.gov.tr,Aşağıkayabaşı Mah. P.T.T. Cad.Sosyal Dayanışma ve Yardımlaşma Vakfı Üst Katı Hınıs/ERZURUM,0442 511 2828,
Erzurum,Narman Açık Ceza İnfaz Kurumu,0442 741 3109 -,,,Burhanettin Eser Cad. Camii Sağır Mah. No:41 P.k:25530 Narman/ERZURUM,0442 741 3137,
Erzurum,Oltu Denetimli Serbestlik Müdürlüğü,0442 816 5852 -,0507 820 0085,dsm.oltu@adalet.gov.tr,Karabekir Mah. Kehribat Sokak Eski Adliye Lojmanları B Blok No: 2B Pk:25400 Oltu ERZURUM,0442 816 2466,https://oltu.adalet.gov.tr/
Erzurum,Oltu T Tipi Kapalı Ceza İnfaz Kurumu,0442 816 1385 -,0506 600 6345,abboltu.ttcik@adalet.gov.tr,OLTU HALİTPAŞA MAH. ŞEHİT FATİH ALBAYRAK CAD.,0442 816 3433,https://oltutcik.adalet.gov.tr/
Eskişehir,Eskişehir 1 Nolu Açık Ceza İnfaz Kurumu,0222 322 2019 - 0222 322 2067,0506 600 6226,eskisehir.acik@adalet.gov.tr,Gazipaşa Mah. Güvenir Sok. No:1 Tepebaşı/ESKİŞEHİR,0222 323 9899,https://eskisehir1acik.adalet.gov.tr/
Eskişehir,Eskişehir 2 Nolu Açık Ceza İnfaz Kurumu,0222 417 6141 -,,eskisehir.2nacik@adalet.gov.tr,Akpınar Mah. 483 Sok. No:38/7 Odunpazarı /Eskişehir,0222 417 6144,
Eskişehir,Eskişehir Denetimli Serbestlik Müdürlüğü,0222 230 9211 - 0222 220 79 79,0507 820 0026,dsm.eskisehir@adalet.gov.tr,Arifiye Mah. Müftülük Sok. No:8 Odunpazarı/ESKİŞEHİR,0222 220 3744,https://eskisehir.adalet.gov.tr
Eskişehir,Eskişehir H Tipi Kapalı Ceza İnfaz Kurumu,0222 417 6003 - 0222 417 6001,0506 600 6126,eskisehir.htcik@adalet.gov.tr,Akpınar Mah. 483. Sok. No:40 Odunpazarı ESKİŞEHİR,0222 417 6250,https://eskisehirhcik.adalet.gov.tr/
Eskişehir,Eskişehir L Tipi Kapalı Ceza İnfaz Kurumu,0222 417 6101 - 0222 417 6116,,eskisehir.ltkcik@adalet.gov.tr,Akpınar Mah. 483 Sok. No:38 Odunpazarı /Eskişehir,0222 417 6181,https://eskisehirlcik.adalet.gov.tr/
Gaziantep,Gaziantep Açık Ceza İnfaz Kurumu,0342 322 3733 -,,gaziantep.acik@adalet.gov.tr,Zeytinli Mah. 79001 nolu cad. 1 nolu sokak. Yeni adliye arkası Şehitkamil/GAZİANTEP,0342 321 3732,https://gaziantepacik.adalet.gov.tr/
Gaziantep,Gaziantep Denetimli Serbestlik Müdürlüğü,0342 322 8460 - 0507 820 0027,,dsm.gaziantep@adalet.gov.tr,İsmet Paşa Mah. İnönü Cad. No: 198 Şahinbey/GAZİANTEP,0342 322 8464,
