İl,İlçe,Kurum Adı,Vergi No,Vergi Dairesi,Hesap Türü,Banka Adı,IBAN
Çanakkale,Yenice(Çanakkale),Yenice(Çanakkale) İcra Dairesi,9480069637,Yenice Vergi Dairesi,Cezaevi,T. Vakıflar Bankası T.A.O.,TR210001500158007300584769
Çankırı,Çankırı,Çankırı İcra Dairesi,2290045948,ÇANKIRI VERGİ DAİRESİ,Harç,T. Vakıflar Bankası T.A.O.,TR330001500158007299396303
Çankırı,Çankırı,Çankırı İcra Dairesi,2290045948,ÇANKIRI VERGİ DAİRESİ,Cezaevi,T. Vakıflar Bankası T.A.O.,TR580001500158007300566934
Çankırı,Çankırı,Çankırı İcra Dairesi,2290045948,ÇANKIRI VERGİ DAİRESİ,Emanet,T. Vakıflar Bankası T.A.O.,TR960001500158007290494449
Çankırı,Ilgaz,Ilgaz İcra Dairesi,4650044511,ILGAZ MAL MÜDÜRLÜĞÜ,Harç,T. Vakıflar Bankası T.A.O.,TR110001500158007300766242
Çankırı,Ilgaz,Ilgaz İcra Dairesi,4650044511,ILGAZ MAL MÜDÜRLÜĞÜ,Cezaevi,T. Vakıflar Bankası T.A.O.,TR820001500158007300766225
Çankırı,Ilgaz,Ilgaz İcra Dairesi,4650044511,ILGAZ MAL MÜDÜRLÜĞÜ,Emanet,T. Vakıflar Bankası T.A.O.,TR780001500158007300766200
Çankırı,Kurşunlu,Kurşunlu İcra Dairesi,4690061119,KURŞUNLU MAL MÜDÜRLÜĞÜ,Cezaevi,T. Vakıflar Bankası T.A.O.,TR080001500158007300588689
Çankırı,Kurşunlu,Kurşunlu İcra Dairesi,4690061119,KURŞUNLU MAL MÜDÜRLÜĞÜ,Harç,T. Vakıflar Bankası T.A.O.,TR520001500158007300588770
Çankırı,Kurşunlu,Kurşunlu İcra Dairesi,4690061119,KURŞUNLU MAL MÜDÜRLÜĞÜ,Emanet,T. Vakıflar Bankası T.A.O.,TR420001500158007300588659
Çankırı,Şabanözü,Şabanözü İcra Dairesi,,,Emanet,T. Vakıflar Bankası T.A.O.,TR660001500158007300598218
Çankırı,Şabanözü,Şabanözü İcra Dairesi,,,Cezaevi,T. Vakıflar Bankası T.A.O.,TR630001500158007300598175
Çankırı,Şabanözü,Şabanözü İcra Dairesi,,,Harç,T. Vakıflar Bankası T.A.O.,TR850001500158007300598070
Çorum,Çorum,Çorum İcra Dairesi,2620534367,ÇORUM VERGİ DAİRESİ,Harç,T. Vakıflar Bankası T.A.O.,TR860001500158007307582246
Çorum,Çorum,Çorum İcra Dairesi,2620534367,ÇORUM VERGİ DAİRESİ,Emanet,T. Vakıflar Bankası T.A.O.,TR810001500158007307582239
Çorum,Çorum,Çorum İcra Dairesi,2620534367,ÇORUM VERGİ DAİRESİ,Cezaevi,T. Vakıflar Bankası T.A.O.,TR750001500158007307582250
Çorum,Bayat(Çorum),Bayat(Çorum) İcra Dairesi,1510042532,BAYAT MAL MÜDÜRLÜĞÜ,Emanet,T. Vakıflar Bankası T.A.O.,TR900001500158007300572760
Çorum,Bayat(Çorum),Bayat(Çorum) İcra Dairesi,1510042532,BAYAT MAL MÜDÜRLÜĞÜ,Cezaevi,T. Vakıflar Bankası T.A.O.,TR110001500158007300572824
Çorum,Bayat(Çorum),Bayat(Çorum) İcra Dairesi,1510042532,BAYAT MAL MÜDÜRLÜĞÜ,Harç,T. Vakıflar Bankası T.A.O.,TR100001500158007300572842
Çorum,İskilip,İskilip İcra Dairesi,4690067198,İSKİLİP MAL MÜDÜRLÜĞÜ,Harç,T. Vakıflar Bankası T.A.O.,TR600001500158007299252839
Çorum,İskilip,İskilip İcra Dairesi,4690067198,İSKİLİP MAL MÜDÜRLÜĞÜ,Cezaevi,T. Vakıflar Bankası T.A.O.,TR350001500158007290498651
Çorum,İskilip,İskilip İcra Dairesi,4690067198,İSKİLİP MAL MÜDÜRLÜĞÜ,Emanet,T. Vakıflar Bankası T.A.O.,TR160001500158007290360768
Çorum,Kargı,Kargı İcra Dairesi,4690034712,KARGI MAL MÜDÜRLÜĞÜ,Cezaevi,T. Vakıflar Bankası T.A.O.,TR730001500158007300623312
Çorum,Kargı,Kargı İcra Dairesi,4690034712,KARGI MAL MÜDÜRLÜĞÜ,Harç,T. Vakıflar Bankası T.A.O.,TR850001500158007300623290
Çorum,Kargı,Kargı İcra Dairesi,4690034712,KARGI MAL MÜDÜRLÜĞÜ,Emanet,T. Vakıflar Bankası T.A.O.,TR240001500158007300623321
Çorum,Osmancık,Osmancık İcra Dairesi,6480052775,Osmancık Vergi Dairesi,Harç,T. Vakıflar Bankası T.A.O.,TR040001500158007300578188
Çorum,Osmancık,Osmancık İcra Dairesi,6480052775,Osmancık Vergi Dairesi,Emanet,T. Vakıflar Bankası T.A.O.,TR680001500158007300578200
Çorum,Osmancık,Osmancık İcra Dairesi,6480052775,Osmancık Vergi Dairesi,Cezaevi,T. Vakıflar Bankası T.A.O.,TR360001500158007300578194
Çorum,Sungurlu,Sungurlu İcra Dairesi,7840000493,SUNGURLU VERGİ DAİRESİ,Emanet,T. Vakıflar Bankası T.A.O.,TR170001500158007290567651
Çorum,Sungurlu,Sungurlu İcra Dairesi,7840000493,SUNGURLU VERGİ DAİRESİ,Cezaevi,T. Vakıflar Bankası T.A.O.,TR780001500158007286895588
Çorum,Sungurlu,Sungurlu İcra Dairesi,7840000493,SUNGURLU VERGİ DAİRESİ,Harç,T. Vakıflar Bankası T.A.O.,TR870001500158007284622619
Çorum,Alaca,Alaca İcra Dairesi,470057358,ALACA MAL MÜDÜRLÜĞÜ,Emanet,T. Vakıflar Bankası T.A.O.,TR390001500158007300749151
Çorum,Alaca,Alaca İcra Dairesi,470057358,ALACA MAL MÜDÜRLÜĞÜ,Cezaevi,T. Vakıflar Bankası T.A.O.,TR160001500158007300749177
Çorum,Alaca,Alaca İcra Dairesi,470057358,ALACA MAL MÜDÜRLÜĞÜ,Harç,T. Vakıflar Bankası T.A.O.,TR330001500158007300749162
Denizli,Denizli,Denizli İcra Dairesi,10684323,Pamukkale Vergi Dairesi,Harç,T. Vakıflar Bankası T.A.O.,TR790001500158007299351922
Denizli,Denizli,Denizli İcra Dairesi,10684323,Pamukkale Vergi Dairesi,Cezaevi,T. Vakıflar Bankası T.A.O.,TR570001500158007299352027
Denizli,Denizli,Denizli İcra Dairesi,10684323,Pamukkale Vergi Dairesi,Emanet,T. Vakıflar Bankası T.A.O.,TR800001500158007297760619
Denizli,Acıpayam,Acıpayam İcra Dairesi,4690057308,ACIPAYAM VERGİ DAİRESİ,Emanet,T. Vakıflar Bankası T.A.O.,TR800001500158007300572649
Denizli,Acıpayam,Acıpayam İcra Dairesi,4690057308,ACIPAYAM VERGİ DAİRESİ,Harç,T. Vakıflar Bankası T.A.O.,TR390001500158007300572611
Denizli,Acıpayam,Acıpayam İcra Dairesi,4690057308,ACIPAYAM VERGİ DAİRESİ,Cezaevi,T. Vakıflar Bankası T.A.O.,TR540001500158007300572632
Denizli,Buldan,Buldan İcra Dairesi,4690034665,BULDAN VERGİ DAİRESİ,Harç,T. Vakıflar Bankası T.A.O.,TR130001500158007300573176
Denizli,Buldan,Buldan İcra Dairesi,4690034665,BULDAN VERGİ DAİRESİ,Cezaevi,T. Vakıflar Bankası T.A.O.,TR610001500158007300573185
Denizli,Buldan,Buldan İcra Dairesi,4690034665,BULDAN VERGİ DAİRESİ,Emanet,T. Vakıflar Bankası T.A.O.,TR390001500158007300573193
Denizli,Çal,Çal İcra Dairesi,2250057879,Çal Vergi Dairesi,Cezaevi,T. Vakıflar Bankası T.A.O.,TR970001500158007300578163
Denizli,Çal,Çal İcra Dairesi,2250057879,Çal Vergi Dairesi,Emanet,T. Vakıflar Bankası T.A.O.,TR490001500158007300578154
Denizli,Çal,Çal İcra Dairesi,2250057879,Çal Vergi Dairesi,Harç,T. Vakıflar Bankası T.A.O.,TR650001500158007300578157
Denizli,Çameli,Çameli İcra Dairesi,2280415805,ÇAMELİ,Cezaevi,T. Vakıflar Bankası T.A.O.,TR120001500158007300572709
Denizli,Çameli,Çameli İcra Dairesi,2280415805,ÇAMELİ,Emanet,T. Vakıflar Bankası T.A.O.,TR330001500158007300572719
Denizli,Çameli,Çameli İcra Dairesi,2280415805,ÇAMELİ,Harç,T. Vakıflar Bankası T.A.O.,TR130001500158007300572691
Denizli,Çardak,Çardak İcra Dairesi,,,Harç,T. Vakıflar Bankası T.A.O.,TR770001500158007300586574
Denizli,Çardak,Çardak İcra Dairesi,,,Cezaevi,T. Vakıflar Bankası T.A.O.,TR560001500158007300586564
Denizli,Çardak,Çardak İcra Dairesi,,,Emanet,T. Vakıflar Bankası T.A.O.,TR880001500158007300586570
Denizli,Çivril,Çivril İcra Dairesi,2580012245,ÇİVRİL VERGİ DAİRESİ,Emanet,T. Vakıflar Bankası T.A.O.,TR850001500158007300566933
Denizli,Çivril,Çivril İcra Dairesi,2580012245,ÇİVRİL VERGİ DAİRESİ,Harç,T. Vakıflar Bankası T.A.O.,TR070001500158007300566979
Denizli,Çivril,Çivril İcra Dairesi,2580012245,ÇİVRİL VERGİ DAİRESİ,Cezaevi,T. Vakıflar Bankası T.A.O.,TR600001500158007300566995
Denizli,Kale,Kale (Denizli) İcra Dairesi,4690057420,KALE MAL MÜDÜRLÜĞÜ,Harç,T. Vakıflar Bankası T.A.O.,TR040001500158007300586530
Denizli,Kale,Kale (Denizli) İcra Dairesi,4690057420,KALE MAL MÜDÜRLÜĞÜ,Emanet,T. Vakıflar Bankası T.A.O.,TR360001500158007300586536
Denizli,Kale,Kale (Denizli) İcra Dairesi,4690057420,KALE MAL MÜDÜRLÜĞÜ,Cezaevi,T. Vakıflar Bankası T.A.O.,TR900001500158007300586534
Denizli,Sarayköy,Sarayköy İcra Dairesi,7450051090,SARAYKÖY VERGİ DAİRESİ,Cezaevi,T. Vakıflar Bankası T.A.O.,TR650001500158007300616472
Denizli,Sarayköy,Sarayköy İcra Dairesi,7450051090,SARAYKÖY VERGİ DAİRESİ,Emanet,T. Vakıflar Bankası T.A.O.,TR600001500158007300616465
Denizli,Sarayköy,Sarayköy İcra Dairesi,7450051090,SARAYKÖY VERGİ DAİRESİ,Harç,T. Vakıflar Bankası T.A.O.,TR220001500158007300616470
Denizli,Tavas,Tavas İcra Dairesi,4690122039,TAVAS VERGİ DAİRESİ,Harç,T. Vakıflar Bankası T.A.O.,TR350001500158007300586554
Denizli,Tavas,Tavas İcra Dairesi,4690122039,TAVAS VERGİ DAİRESİ,Cezaevi,T. Vakıflar Bankası T.A.O.,TR730001500158007300586549
Denizli,Tavas,Tavas İcra Dairesi,4690122039,TAVAS VERGİ DAİRESİ,Emanet,T. Vakıflar Bankası T.A.O.,TR410001500158007300586543
Diyarbakır,Diyarbakır,Diyarbakır İcra Dairesi,2651172146,GÖKALP VERGİ DAİRESİ,Harç,T. Vakıflar Bankası T.A.O.,TR460001500158007306864002
Diyarbakır,Diyarbakır,Diyarbakır İcra Dairesi,2651172146,GÖKALP VERGİ DAİRESİ,Emanet,T. Vakıflar Bankası T.A.O.,TR750001500158007306863965
Diyarbakır,Diyarbakır,Diyarbakır İcra Dairesi,2651172146,GÖKALP VERGİ DAİRESİ,Cezaevi,T. Vakıflar Bankası T.A.O.,TR770001500158007306864026
Diyarbakır,Bismil,Bismil İcra Dairesi,1780529943,BİSMİL MAL MÜDÜRLÜĞÜ,Harç,T. Vakıflar Bankası T.A.O.,TR850001500158007300574499
Diyarbakır,Bismil,Bismil İcra Dairesi,1780529943,BİSMİL MAL MÜDÜRLÜĞÜ,Emanet,T. Vakıflar Bankası T.A.O.,TR340001500158007300574544
Diyarbakır,Bismil,Bismil İcra Dairesi,1780529943,BİSMİL MAL MÜDÜRLÜĞÜ,Cezaevi,T. Vakıflar Bankası T.A.O.,TR620001500158007300574525
Diyarbakır,Çermik,Çermik İcra Dairesi,,,Emanet,T. Vakıflar Bankası T.A.O.,TR960001500158007300677606
Diyarbakır,Çermik,Çermik İcra Dairesi,,,Harç,T. Vakıflar Bankası T.A.O.,TR310001500158007300677612
Diyarbakır,Çermik,Çermik İcra Dairesi,,,Cezaevi,T. Vakıflar Bankası T.A.O.,TR900001500158007300677617
Diyarbakır,Çınar,Çınar İcra Dairesi,2510237471,ÇINAR VERGİ DAİRESİ,Cezaevi,T. Vakıflar Bankası T.A.O.,TR480001500158007300576523
Diyarbakır,Çınar,Çınar İcra Dairesi,2510237471,ÇINAR VERGİ DAİRESİ,Harç,T. Vakıflar Bankası T.A.O.,TR760001500158007300576504
Diyarbakır,Çınar,Çınar İcra Dairesi,2510237471,ÇINAR VERGİ DAİRESİ,Emanet,T. Vakıflar Bankası T.A.O.,TR100001500158007300576528
Diyarbakır,Çüngüş,Çüngüş İcra Dairesi,7320068060,Çüngüş vergi dairesi,Harç,T. Vakıflar Bankası T.A.O.,TR640001500158007300765870
Diyarbakır,Çüngüş,Çüngüş İcra Dairesi,7320068060,Çüngüş vergi dairesi,Emanet,T. Vakıflar Bankası T.A.O.,TR440001500158007300765842
Diyarbakır,Çüngüş,Çüngüş İcra Dairesi,7320068060,Çüngüş vergi dairesi,Cezaevi,T. Vakıflar Bankası T.A.O.,TR530001500158007300765971
Diyarbakır,Dicle,Dicle İcra Dairesi,2950328181,DİCLE MAL MÜDÜRLÜĞÜ,Cezaevi,T. Vakıflar Bankası T.A.O.,TR430001500158007300765472
Diyarbakır,Dicle,Dicle İcra Dairesi,2950328181,DİCLE MAL MÜDÜRLÜĞÜ,Emanet,T. Vakıflar Bankası T.A.O.,TR180001500158007300765437
Diyarbakır,Dicle,Dicle İcra Dairesi,2950328181,DİCLE MAL MÜDÜRLÜĞÜ,Harç,T. Vakıflar Bankası T.A.O.,TR710001500158007300765453
Diyarbakır,Eğil,Eğil İcra Dairesi,,,Emanet,T. Vakıflar Bankası T.A.O.,TR060001500158007300686598
Diyarbakır,Eğil,Eğil İcra Dairesi,,,Cezaevi,T. Vakıflar Bankası T.A.O.,TR340001500158007300686579
Diyarbakır,Eğil,Eğil İcra Dairesi,,,Harç,T. Vakıflar Bankası T.A.O.,TR890001500158007300686559
Diyarbakır,Ergani,Ergani İcra Dairesi,3540077871,ERGANİ MAL MÜDÜRLÜĞÜ,Emanet,T. Vakıflar Bankası T.A.O.,TR660001500158007300584153
Diyarbakır,Ergani,Ergani İcra Dairesi,3540077871,ERGANİ MAL MÜDÜRLÜĞÜ,Harç,T. Vakıflar Bankası T.A.O.,TR450001500158007300584337
Diyarbakır,Ergani,Ergani İcra Dairesi,3540077871,ERGANİ MAL MÜDÜRLÜĞÜ,Cezaevi,T. Vakıflar Bankası T.A.O.,TR270001500158007300584370
Diyarbakır,Hani,Hani İcra Dairesi,,,Cezaevi,T. Vakıflar Bankası T.A.O.,TR080001500158007300766781
Diyarbakır,Hani,Hani İcra Dairesi,,,Harç,T. Vakıflar Bankası T.A.O.,TR840001500158007300766771
Diyarbakır,Hani,Hani İcra Dairesi,,,Emanet,T. Vakıflar Bankası T.A.O.,TR150001500158007300766752
Diyarbakır,Hazro,Hazro İcra Dairesi,,,Emanet,T. Vakıflar Bankası T.A.O.,TR350001500158007300619049
Diyarbakır,Hazro,Hazro İcra Dairesi,,,Harç,T. Vakıflar Bankası T.A.O.,TR680001500158007300619134
Diyarbakır,Hazro,Hazro İcra Dairesi,,,Cezaevi,T. Vakıflar Bankası T.A.O.,TR260001500158007300619211
Diyarbakır,Kulp,Kulp İcra Dairesi,,,Cezaevi,T. Vakıflar Bankası T.A.O.,TR250001500158007300765796
Diyarbakır,Kulp,Kulp İcra Dairesi,,,Harç,T. Vakıflar Bankası T.A.O.,TR260001500158007300765778
Diyarbakır,Kulp,Kulp İcra Dairesi,,,Emanet,T. Vakıflar Bankası T.A.O.,TR820001500158007300765740
Diyarbakır,Lice,Lice İcra Dairesi,,,Harç,T. Vakıflar Bankası T.A.O.,TR960001500158007300755109
Diyarbakır,Lice,Lice İcra Dairesi,,,Emanet,T. Vakıflar Bankası T.A.O.,TR050001500158007300755098
Diyarbakır,Lice,Lice İcra Dairesi,,,Cezaevi,T. Vakıflar Bankası T.A.O.,TR310001500158007300755115
Diyarbakır,Silvan,Silvan İcra Dairesi,,,Emanet,T. Vakıflar Bankası T.A.O.,TR750001500158007300597183
Diyarbakır,Silvan,Silvan İcra Dairesi,,,Cezaevi,T. Vakıflar Bankası T.A.O.,TR920001500158007300597168
Diyarbakır,Silvan,Silvan İcra Dairesi,,,Harç,T. Vakıflar Bankası T.A.O.,TR070001500158007300597146
Edirne,Edirne,Edirne İcra Dairesi,3240456830,ARDA VERGİ DAİRESİ,Harç,T. Vakıflar Bankası T.A.O.,TR110001500158007304170069
Edirne,Edirne,Edirne İcra Dairesi,3240456830,ARDA VERGİ DAİRESİ,Emanet,T. Vakıflar Bankası T.A.O.,TR900001500158007304170102
Edirne,Edirne,Edirne İcra Dairesi,3240456830,ARDA VERGİ DAİRESİ,Cezaevi,T. Vakıflar Bankası T.A.O.,TR830001500158007304170034
Edirne,Enez,Enez İcra Dairesi,,,Harç,T. Vakıflar Bankası T.A.O.,TR530001500158007300596124
Edirne,Enez,Enez İcra Dairesi,,,Emanet,T. Vakıflar Bankası T.A.O.,TR550001500158007300596088
Edirne,Enez,Enez İcra Dairesi,,,Cezaevi,T. Vakıflar Bankası T.A.O.,TR790001500158007300596141
Edirne,İpsala,İpsala İcra Dairesi,4800057970,İPSALA VERGİ DAİRESİ,Harç,T. Vakıflar Bankası T.A.O.,TR510001500158007300567545
Edirne,İpsala,İpsala İcra Dairesi,4800057970,İPSALA VERGİ DAİRESİ,Emanet,T. Vakıflar Bankası T.A.O.,TR230001500158007300567564
Edirne,İpsala,İpsala İcra Dairesi,4800057970,İPSALA VERGİ DAİRESİ,Cezaevi,T. Vakıflar Bankası T.A.O.,TR070001500158007300567561
Edirne,Keşan,Keşan İcra Dairesi,4690078926,KEŞAN VERGİ DAİRESİ,Harç,T. Vakıflar Bankası T.A.O.,TR770001500158007299340318
Edirne,Keşan,Keşan İcra Dairesi,4690078926,KEŞAN VERGİ DAİRESİ,Cezaevi,T. Vakıflar Bankası T.A.O.,TR570001500158007290494569
Edirne,Keşan,Keşan İcra Dairesi,4690078926,KEŞAN VERGİ DAİRESİ,Emanet,T. Vakıflar Bankası T.A.O.,TR480001500158007290492694
Edirne,Uzunköprü,Uzunköprü İcra Dairesi,9030064153,Uzunköprü Vergi Dairesi,Cezaevi,T. Vakıflar Bankası T.A.O.,TR300001500158007299242806
Edirne,Uzunköprü,Uzunköprü İcra Dairesi,9030064153,Uzunköprü Vergi Dairesi,Harç,T. Vakıflar Bankası T.A.O.,TR390001500158007299303269
Edirne,Uzunköprü,Uzunköprü İcra Dairesi,9030064153,Uzunköprü Vergi Dairesi,Emanet,T. Vakıflar Bankası T.A.O.,TR470001500158007290501248
Elazığ,Elazığ,Elazığ İcra Dairesi,1780096295,HAZAR VERGİ DAİRESİ,Cezaevi,T. Vakıflar Bankası T.A.O.,TR860001500158007300568273
Elazığ,Elazığ,Elazığ İcra Dairesi,1780096295,HAZAR VERGİ DAİRESİ,Harç,T. Vakıflar Bankası T.A.O.,TR470001500158007299353371
Elazığ,Elazığ,Elazığ İcra Dairesi,1780096295,HAZAR VERGİ DAİRESİ,Emanet,T. Vakıflar Bankası T.A.O.,TR300001500158007290497092
Elazığ,Çemişgezek,Çemişgezek İcra Dairesi,2420488692,ÇEMİŞGEZEK MAL MÜDÜRLÜĞÜ,Cezaevi,T. Vakıflar Bankası T.A.O.,TR830001500158007300615178
Elazığ,Çemişgezek,Çemişgezek İcra Dairesi,2420488692,ÇEMİŞGEZEK MAL MÜDÜRLÜĞÜ,Harç,T. Vakıflar Bankası T.A.O.,TR850001500158007300615142
Elazığ,Çemişgezek,Çemişgezek İcra Dairesi,2420488692,ÇEMİŞGEZEK MAL MÜDÜRLÜĞÜ,Emanet,T. Vakıflar Bankası T.A.O.,TR760001500158007300615110
Elazığ,Karakoçan,Karakoçan İcra Dairesi,5150416083,Karakoçan Vergi Dairesi,Harç,T. Vakıflar Bankası T.A.O.,TR910001500158007300601745
Elazığ,Karakoçan,Karakoçan İcra Dairesi,5150416083,Karakoçan Vergi Dairesi,Emanet,T. Vakıflar Bankası T.A.O.,TR490001500158007300601725
Elazığ,Karakoçan,Karakoçan İcra Dairesi,5150416083,Karakoçan Vergi Dairesi,Cezaevi,T. Vakıflar Bankası T.A.O.,TR660001500158007300601807
Elazığ,Keban,Keban İcra Dairesi,,,Emanet,T. Vakıflar Bankası T.A.O.,TR170001500158007300595705
Elazığ,Keban,Keban İcra Dairesi,,,Harç,T. Vakıflar Bankası T.A.O.,TR970001500158007300595720
Elazığ,Keban,Keban İcra Dairesi,,,Cezaevi,T. Vakıflar Bankası T.A.O.,TR150001500158007300595741
Elazığ,Kovancılar,Kovancılar İcra Dairesi,5810585398,KOVANCILAR MAL MÜDÜRLÜĞÜ,Harç,T. Vakıflar Bankası T.A.O.,TR630001500158007300598951
Elazığ,Kovancılar,Kovancılar İcra Dairesi,5810585398,KOVANCILAR MAL MÜDÜRLÜĞÜ,Cezaevi,T. Vakıflar Bankası T.A.O.,TR910001500158007300598932
Elazığ,Kovancılar,Kovancılar İcra Dairesi,5810585398,KOVANCILAR MAL MÜDÜRLÜĞÜ,Emanet,T. Vakıflar Bankası T.A.O.,TR920001500158007300598914
Elazığ,Maden,Maden İcra Dairesi,,,Emanet,T. Vakıflar Bankası T.A.O.,TR020001500158007300614987
Elazığ,Maden,Maden İcra Dairesi,,,Cezaevi,T. Vakıflar Bankası T.A.O.,TR110001500158007300615019
Elazığ,Maden,Maden İcra Dairesi,,,Harç,T. Vakıflar Bankası T.A.O.,TR980001500158007300615005
Elazığ,Palu,Palu İcra Dairesi,,,Cezaevi,T. Vakıflar Bankası T.A.O.,TR590001500158007300634428
Elazığ,Palu,Palu İcra Dairesi,,,Emanet,T. Vakıflar Bankası T.A.O.,TR090001500158007300634358
Elazığ,Palu,Palu İcra Dairesi,,,Harç,T. Vakıflar Bankası T.A.O.,TR770001500158007300634395
Erzincan,Erzincan,Erzincan İcra Dairesi,4690057043,FEVZİPAŞA VERGİ DAİRESİ,Emanet,T. Vakıflar Bankası T.A.O.,TR870001500158007290496454
Erzincan,Erzincan,Erzincan İcra Dairesi,4690057043,FEVZİPAŞA VERGİ DAİRESİ,Cezaevi,T. Vakıflar Bankası T.A.O.,TR810001500158007300573795
Erzincan,Erzincan,Erzincan İcra Dairesi,4690057043,FEVZİPAŞA VERGİ DAİRESİ,Harç,T. Vakıflar Bankası T.A.O.,TR810001500158007299296887
Erzincan,Çayırlı,Çayırlı İcra Dairesi,4690066841,ÇAYIRLI MAL MÜDÜRLÜĞÜ,Harç,T. Vakıflar Bankası T.A.O.,TR860001500158007300576712
Erzincan,Çayırlı,Çayırlı İcra Dairesi,4690066841,ÇAYIRLI MAL MÜDÜRLÜĞÜ,Cezaevi,T. Vakıflar Bankası T.A.O.,TR830001500158007300576766
Erzincan,Çayırlı,Çayırlı İcra Dairesi,4690066841,ÇAYIRLI MAL MÜDÜRLÜĞÜ,Emanet,T. Vakıflar Bankası T.A.O.,TR500001500158007300576778
Erzincan,İliç,İliç İcra Dairesi,4720362339,İLİÇ MAL MÜDÜRLÜĞÜ,Emanet,T. Vakıflar Bankası T.A.O.,TR820001500158007300576881
Erzincan,İliç,İliç İcra Dairesi,4720362339,İLİÇ MAL MÜDÜRLÜĞÜ,Cezaevi,T. Vakıflar Bankası T.A.O.,TR510001500158007300576857
Erzincan,İliç,İliç İcra Dairesi,4720362339,İLİÇ MAL MÜDÜRLÜĞÜ,Harç,T. Vakıflar Bankası T.A.O.,TR270001500158007300576804
Erzincan,Kemah,Kemah İcra Dairesi,4690209963,KEMALİYE MAL MÜDÜRLÜĞÜ,Emanet,T. Vakıflar Bankası T.A.O.,TR330001500158007300576890
Erzincan,Kemah,Kemah İcra Dairesi,4690209963,KEMALİYE MAL MÜDÜRLÜĞÜ,Cezaevi,T. Vakıflar Bankası T.A.O.,TR300001500158007300576847
Erzincan,Kemah,Kemah İcra Dairesi,4690209963,KEMALİYE MAL MÜDÜRLÜĞÜ,Harç,T. Vakıflar Bankası T.A.O.,TR210001500158007300576815
Erzincan,Kemaliye,Kemaliye İcra Dairesi,5440083908,KEMALİYE MAL MÜDÜRLÜĞÜ,Emanet,T. Vakıflar Bankası T.A.O.,TR180001500158007300576772
Erzincan,Kemaliye,Kemaliye İcra Dairesi,5440083908,KEMALİYE MAL MÜDÜRLÜĞÜ,Harç,T. Vakıflar Bankası T.A.O.,TR390001500158007300576588
Erzincan,Kemaliye,Kemaliye İcra Dairesi,5440083908,KEMALİYE MAL MÜDÜRLÜĞÜ,Cezaevi,T. Vakıflar Bankası T.A.O.,TR200001500158007300576736
Erzincan,Refahiye,Refahiye İcra Dairesi,4690075606,REFAHİYE MAL MÜDÜRLÜĞÜ,Harç,T. Vakıflar Bankası T.A.O.,TR130001500158007300576959
Erzincan,Refahiye,Refahiye İcra Dairesi,4690075606,REFAHİYE MAL MÜDÜRLÜĞÜ,Emanet,T. Vakıflar Bankası T.A.O.,TR600001500158007300576986
Erzincan,Refahiye,Refahiye İcra Dairesi,4690075606,REFAHİYE MAL MÜDÜRLÜĞÜ,Cezaevi,T. Vakıflar Bankası T.A.O.,TR280001500158007300576980
Erzincan,Tercan,Tercan İcra Dairesi,4690314908,TERCAN MAL MÜDÜRLÜĞÜ,Emanet,T. Vakıflar Bankası T.A.O.,TR170001500158007300577760
Erzincan,Tercan,Tercan İcra Dairesi,4690314908,TERCAN MAL MÜDÜRLÜĞÜ,Harç,T. Vakıflar Bankası T.A.O.,TR050001500158007300577782
Erzincan,Tercan,Tercan İcra Dairesi,4690314908,TERCAN MAL MÜDÜRLÜĞÜ,Cezaevi,T. Vakıflar Bankası T.A.O.,TR260001500158007300577792
Erzurum,Erzurum,Erzurum 1. İcra Dairesi,3770051022,Kazım Karabekir Vergi Dairesi,Cezaevi,T. Vakıflar Bankası T.A.O.,TR710001500158007299351193
Erzurum,Erzurum,Erzurum 1. İcra Dairesi,3770051022,Kazım Karabekir Vergi Dairesi,Harç,T. Vakıflar Bankası T.A.O.,TR280001500158007299351191
Erzurum,Erzurum,Erzurum 1. İcra Dairesi,3770051022,Kazım Karabekir Vergi Dairesi,Emanet,T. Vakıflar Bankası T.A.O.,TR590001500158007290502002
Erzurum,Erzurum,Erzurum 2. İcra Dairesi,3770051351,ERZURUM KAZIM KARABEKİR VERGİ DAİRESİ,Emanet,T. Vakıflar Bankası T.A.O.,TR730001500158007290501847
Erzurum,Erzurum,Erzurum 2. İcra Dairesi,3770051351,ERZURUM KAZIM KARABEKİR VERGİ DAİRESİ,Harç,T. Vakıflar Bankası T.A.O.,TR440001500158007299351194
Erzurum,Erzurum,Erzurum 2. İcra Dairesi,3770051351,ERZURUM KAZIM KARABEKİR VERGİ DAİRESİ,Cezaevi,T. Vakıflar Bankası T.A.O.,TR170001500158007299351195
Erzurum,Erzurum,Erzurum 3. İcra Dairesi,3770276317,Kazımkarabekir Vergi Dairesi,Emanet,T. Vakıflar Bankası T.A.O.,TR550001500158007290502171
Erzurum,Erzurum,Erzurum 3. İcra Dairesi,3770276317,Kazımkarabekir Vergi Dairesi,Cezaevi,T. Vakıflar Bankası T.A.O.,TR160001500158007290502097
Erzurum,Erzurum,Erzurum 3. İcra Dairesi,3770276317,Kazımkarabekir Vergi Dairesi,Harç,T. Vakıflar Bankası T.A.O.,TR570001500158007299432634
Erzurum,Erzurum,Erzurum 4. İcra Dairesi,3770418800,Kazımkarabekir Vergi Dairesi,Harç,T. Vakıflar Bankası T.A.O.,TR380001500158007299439766
